緣份,內容
Test1,這是測試
你只是來報恩的姻緣,"在你們的命盤中，你們的緣份很玄殊，比較痛苦的組合，代表你只是來報恩的姻緣。
 一，你愛他，他不愛你。
 二，你完全對他付出，他沒辦法回應你的愛，甚至也傾向於冷漠一些。
 三，你很喜歡他，你心裡的理想對象就是像他這樣的人，所以你也很難放下他。
 四，你對他一見鐘情機率大，或是剛接觸就喜歡他了。"
他只是來報恩的姻緣,"在你們的命盤中，你們的緣份很玄殊，比較痛苦的組合，代表他只是來報恩的姻緣。
 
 一，他比較喜歡你，反而你會思考他是不是你想要的人。
 二，他在感情上會完全地付出，而你則沒辦法回應他的喜歡。
 三，若果，你們分手後，很大機會他放不下你。
 四，他對你一見鐘情，甚至他都以你為先。"
你命中要找的「人」,"老實說，你命途中要找的「人」很大機會是他，不一定會相處良好，但是你必須要面對他這個「愛情課題」，從他身上，你將會得到人生的領悟，不管好壞，他都是與你有「緣」，但有沒有「份」去長相廂守就得看你們的福報了。很多時候上天送給你「正緣」，不見得大家會珍惜，每次的不尊重不包容，都是有在破壞你們之間的緣份！
 
 你們之間「有姻緣」但不一定有「福份相伴一輩子」的主因：
 一：多次前世，你們的「問題」變成「情債」還沒解決
 二：有愛情功課，需要透過「他」化成「考驗」給你上課
 三：你對他的心態傾向於「只在乎曾經擁有，不在乎天長地久」，那就沒必要執著太深（現在硬要抓著他在自己身邊）
 
 建議：認真把你對他的「不滿」或 你們相處的「問題」一個個都整理好，NANA才有辦法針對問題幫你解決。"
他命中要找的「人」,"老實說，他命途中要找的「人」很大機會是你，不一定會相處良好，但是他必須要面對你這個「愛情課題」，從你身上，他將會得到人生的領悟，不管好壞，他都是與你有「緣」，但有沒有「份」去長相廂守就得看你們的福報了。
 
 你們之間「有姻緣」但不一定有「福份相伴一輩子」的主因：
 一：多次前世，你們的「問題」變成「情債」還沒解決
 二：有愛情功課，需要透過「你」化成「考驗」給他上課
 三：他對你的心態傾向於「只在乎曾經擁有，不在乎天長地久」
 
 建議：認真把他對你的「不滿」或 你們相處的「問題」一個個都整理好，NANA才有辦法針對問題幫你解決。"
你們命中要找的「人」,"老實說，你們命途中要找的「人」很大機會是對方，不一定會相處良好，但是你們必須要面對彼此這個「愛情課題」，從對方身上，你們將會得到人生的領悟，不管好壞，你們都是與對方有「緣」，但有沒有「份」去長相廂守就得看你們的福報了。很多時候上天送給你們「正緣」，不見得大家會珍惜，每次的不尊重不包容，都是有在破壞你們之間的緣份！
 
 更簡單的說法就是，你們彼此來到對方的世界裡，是為了讓彼此上一堂愛情課，時機到了，就會完全消失在你的生命裡。
 
 如何不讓他消失在你的世界？就要趁著還沒斷聯的時候，趕快處理「愛情課題」，把情債還光光了，再製造正向緣份，就不會狠心絕心地斷聯。已經斷聯消失了，再求也求不回來，這也是緣盡的表現！
 
 你們之間「有姻緣」但不一定有「福份相伴一輩子」的主因：
 一：多次前世，你們的「問題」變成「情債」還沒解決
 二：有愛情功課，需要透過「彼此」化成「考驗」給你們上課
 三：你們的心態傾向於「只在乎曾經擁有，不在乎天長地久」"
0%沒有緣份,"在你們的命盤中，屬於 有緣無份 的組合 。代表你們不一定是彼此心目中的理想伴侶，所以，你們的關係就停滯在這邊，無法前進更親密的關係，像是走不進彼此的心，或許也只有肉體上的互動。
 
 對於 你們目前的狀況，你更需要釐清 你們之間的情感，要來自於「責任」或「陪伴」或「習慣」，有時候口說的喜歡，也不是真心的喜歡。"
30%少緣份,"在你們的命盤中，屬於 比較少有緣份（差不多30%）的組合。代表你們不一定是彼此心目中的理想伴侶，但是也會有互相欣賞的地方。剛開始接觸時，你們可能對彼此就抱有好感，不見得一見鍾情，但是也會有喜歡對方的可能性。認識好一段時間，可能會發現對方的想法或個性，跟自己想像的格格不入，所以乾脆不要了，錯過了愛情的衝動。
 
 主要分別就是，分手也沒差，因為覺得對方也不像自己心目中的人選，所以分手時，雖然難過，但是如果換到更適合自己的人也好像可以，只是一時之間不習慣沒有對方，或是不想被拋棄。"
30%曖昧,"在你們的命盤中，屬於 比較少有緣份（差不多30%）的組合。代表你們不一定是彼此心目中的理想伴侶，但是也會有互相欣賞的地方。剛開始接觸時，你們可能對彼此就抱有好感，不見得一見鍾情，但是也會有喜歡對方的可能性。認識好一段時間，可能會發現對方的想法或個性，跟自己想像的格格不入，所以乾脆不要了，錯過了愛情的衝動。
 
 主要分別就是，不聯絡也沒差，因為覺得對方也不像自己心目中的人選，所以不聯絡時，雖然難過，但是如果換到更適合自己的人也好像可以，只是一時之間不習慣沒有對方，或是不想被拋棄。
 
 為何他會直接放棄？不想再跟你聯絡？因為，他根本不喜歡你，你也沒辦法滿足他的條件。在他心裡面，他認定你不是他想要的人，所以他會乾脆選擇不聯絡。相處久了，他會覺得，一定會找到比你更好而又喜歡的人，尤其遇上了就會果斷跟你斷聯。因為，你跟他沒有實際的愛跟喜歡。即使復聯了，沒有好好處理，也會很快斷聯。"
50%他喜歡你多一些,在你們的命盤中，屬於 緣份脆弱 的組合（隨時因為變數而一拍兩散）。他會比較喜歡你多一些，尤其是他剛接觸你的時候，他就已經有一見鐘情，或是認識不久就喜歡你，所以他會顯得更投入在感情關係裡。現代愛情觀，希望能夠找一位比較愛自己的人，那他正是如此。他比較喜歡你多一些，剛接觸時就會有比較強烈的感覺，但是你對他比較一般般。
50%你喜歡他多一些,在你們的命盤中，屬於 緣份脆弱 的組合（隨時因為變數而一拍兩散）。你會喜歡他多一些，尤其是你剛接觸他的時候，你就已經有一見鐘情，或是認識不久就喜歡他，所以你會顯得更投入在感情關係裡。交往後，他可能會發現你的想法或個性，跟他想像的格格不入。交往久了，可能就會覺得還好，他想要出去找新鮮感的可能性多。
60%不能長相廝守,在你們的命盤中，屬於 有機會 長相廝守（60%的緣份）的組合，但不完全是足夠讓你們平安相愛到老，容易因為有變數而放棄。同時，也代表你們可能不完全是彼此心目中的理想伴侶，剛接觸的時候已經喜歡，或是帶點一見鍾情，交往後，可能會發現對方的想法或個性，跟自己想像的格格不入。剛開始時，你會覺得他某些個性特質好像符合自己的理想條件，但是到後來，卻發現不一樣。或是，交往久了，可能就會覺得還好。
70%斷不開的組合,在你們的命盤中，屬於 感情斷不開 的組合（70%的緣份），代表你們互相喜歡，也符合彼此心目中的理想伴侶。同時，你們剛開始接觸時，就已經喜歡對方，或是有一見鐘情的可能性。即使分開，也會互相糾纏一段時間。復合率比較高，而且會有患難見真情的表現。如果，其中一方願意原諒，請給時間去療癒心靈，時間到了，就會回來。
90%互相喜歡,"在你們的命盤中，屬於 緣份很高 的組合（有90%緣份），代表你們互相喜歡，也符合彼此心目中的理想伴侶，是一組很漂亮的合盤（彼此是人生中其中一位正緣）。同時，你們剛開始接觸時，就已經喜歡對方，或是有一見鐘情的可能性。
 
 「緣份多」的表現 則會在剛交往時，就會有一㮔似曾相識，相逢恨晚 的感覺，在相處上會比較包容尊重，相比其他交往經驗，會更容易感到幸福，快樂，知足 的心靈滿足感。
 
 但是，能不能長相廂守就得看你們的福報了（福報不足，容易一個干擾就喊分手）。不想放棄，雙方就需要增加福報，可以邀請對方「多做布施」、一起「學習吃素」、自己幫忙「定期還情債」三管齊下，感情堅定下來，就能穩定地長相廝守相愛到老。
 
 你們緣份多，即使當下分開斷聯，也會在未來有一天相遇。所以，別因為現在的處境否定了你們的緣份。有些人念念不忘，在三年或五年後，還是會重遇，重新相愛。你不想跟他錯過或浪費時間，最後才發現彼此是正緣，請你一定要及時處理這段姻緣。"
曖昧不夠緣份,"你們之間比較沒有緣份，代表他只是短暫性喜歡你（新鮮感/生理衝動），但是喜歡也不一定會馬上就提出交往。
 
 不夠緣份，即使在一起，也會佷快分手。或是，你們各自遇到更喜歡的人就會直接放棄。
 
 
 建議，不要浪費心思在沒有緣份的對象上，目前更需要集中心思在自己的魅力上，例如打扮、學習、增強磁場，提升自信，會更能吸引真正欣賞你裡裡外外的對象。（有心想要找正緣，不再糾結合盤對象，請主動諮詢NANA（祕訣不外傳，只給用心經營愛情的善緣））"
你一見鐘情,同時，你對他傾向於一見鐘情，但是交往後，深入了解才發現他沒有那麼吸引你，也覺得他也很一般。
他不一見鐘情,相反，他對你不會有一見鐘情，是需要深入了解你後，才會思考跟你交往的可能性。因為他喜歡你的特質都要透過溝通才可以展現出來，除非你美到吸引他主動認識你，否則，真的要透過深入認識才可以讓他看見你的好。
你不一見鐘情,你對他不見得是一見鍾情的，反而是認識後才慢慢喜歡他，而他則是一開始就追你或喜歡你，但是交往後才發現你沒有那麼吸引他，也覺得你也很一般，才發現你不是他要的人。
命盤很像,但是你們命盤很像，個性也好像，彼此會成為彼此的朋友，但你比較喜歡他多一些，剛接觸時就會有比較強烈的感覺，但是他對你比較一般般。
為何不想再跟你復合？,為何他會直接放棄？不想再跟你復合？因為，他根本不喜歡你，你也沒辦法滿足他的條件。在他心裡面，他認定你不是他想要的人，所以他會乾脆選擇分手。交往久了，他會覺得，一定會找到比你更好而又喜歡的人，尤其遇上了就會果斷跟你分手。因為，你跟他只有交往的關係，沒有實際的愛跟喜歡。即使復合了，沒有好好處理，也會很快分手。
為何他會跟你分分合合？,為何他會跟你分分合合？因為，你是備胎（後備炮友的可能）。你其實也沒辦法滿足他的條件。在他心裡面，他認定你不是他想要的人，所以他會乾脆選擇分手。交往久了，他會覺得，一定會找到比你更好而又喜歡的人，尤其遇上了就會果斷跟你分手。因為，你跟他只有交往的關係，沒有實際的愛跟喜歡。即使復合了，沒有好好處理，也會很快分手。還沒找到更好更喜歡的人，先暫時復合。
陰陽 天干,內容
陽陽,你們雙方在溝通都會有過度主動強硬、不願妥協的時候，若要穩定和諧相處，建議你們在日常生活中學會互相謙讓，先冷靜思考你們討論的目的是什麼，再來進行有效溝通，不要為了爭一個「我是對的」「你要聽我的」答案。 而不是硬碰硬，鬥個輸贏，這樣會很快產生怨氣、不爽，感情阻礙就是這樣越積越多而不自知，最後真正離開了才後悔。
陰陰,你們雙方的性格都拖拖拉拉、糾纏不清，表達也不夠主動，當出現問題時也可能傾向於冷戰或啞忍，也可能因為過度內斂而難以讓對方感受到愛。當吵架或發生問題時，其實是需要其中有一方踏出第一步，才能突破僵局。不然，兩個人很被動，都不會和好，或是聊開。你們會把問題藏很深，直到吵架才會拿出來講，超級沒意義的，何必呢？建議，你要做主動的一方，你太被動，只會讓自己錯過他，不要再以「矜持」為由而讓自己最後傷心又流淚，你說為了面子，而失去他，值得嗎？
女陽男陰,在你們的相處中，你會比較強勢，而他則是比較陰柔一些，你提出的意見，他會傾向默默接受，要注意的是，他提出意見時，你也比較有主見，也容易反對他或意圖改變他的想法，你會給他有壓迫感，要他聽你的話，長期下來，他會不想跟你共同生活下去，因為跟你在一起只有妥協，沒有共識。所以，建議你要多反思自己的強硬的態度，是不是忽略了他的感受或想法，讓他心累，不想再想聽從於你。若你不反思及調整自己，事事以「自己是對的」自把自為，即使和好或復合，也會重蹈覆轍。
流年（比劫、印P、財）,內容
你走比劫,"你在2024期間，朋友來往變多（舊朋友突然聯絡），社交聚會活動也變多，小心朋友來借錢，或找投資合作，很容易一去不回頭，拿不回來。另外，流年的磁場會吸引情敵出現，或感情被界入，多有第三者出現，或玩交友軟體跟異性曖昧的狀況發生。
 
 所以，2024年磁場，會讓你變得很混亂。而且，你也會變得更聽朋友的話，忽略了伴侶的意見，意思就是說你聽朋友的建議，也不見得聽他的看法。這樣，很容易讓他受挫敗，而不想面對，最後，導致雙方感情破裂。（自己及對方都有機會「允許異性跟自己頻密來往」）"
他走比劫,"他在2024期間，朋友來往變多，社交聚會活動也變多，小心朋友來找他投資合作，很容易一去不回頭，拿不回來。另外，就是他身邊異性緣變多，或感情被界入，多有第三者出現，或玩交友軟體跟異性曖昧的狀況發生。所以，2024年磁場，會讓他變得很混亂。而且，他也會變得更聽朋友的話，忽略了伴侶的意見，意思就是說他聽朋友的建議，也不見得聽你的看法。這樣，很容易讓你受挫敗，而不想面對，最後，導致雙方感情破裂。他有機會「允許異性跟自己頻密來往」。
 
 所以，2024年建議從他的朋友入手，讓他的朋友講出你的「好」，他才聽得進去，他也才會發現你的好，也才留下好印象，朋友說的他會考慮看看。"
你們比劫,"你們在2024期間，朋友來往變多（舊朋友突然聯絡），社交聚會活動也變多，小心朋友來借錢，或找投資合作，很容易一去不回頭，拿不回來。另外，流年的磁場會吸引情敵出現，或感情被界入，多有第三者出現，或玩交友軟體跟異性曖昧的狀況發生。
 
 所以，2024年磁場，會讓你變得很混亂。而且，你們也會變得更聽朋友的話，忽略了伴侶的意見，意思就是說你們聽朋友的建議，也不見得聽對方的看法。這樣，很容易讓雙方受挫敗，而不想面對，最後，導致雙方感情破裂。（自己及對方都有機會「允許異性跟自己頻密來往」）"
他走P,"要注意的是，他在2024會出現小人多，意思就是不論愛情還是身邊，都會多個麻煩人干擾他，也就是我們所說的「走小人運」。所以，他在這年期間比較力不從心，人際上也有不安的感覺，是正常的。他的心思不在感情生活上，因為會有人際雜事在干擾他，讓他只想解決小人是非。
 
 而且，他今年口舌是非多，也是因為他嘴巴容易講出令人不中聽的說話，而得罪人，為反對而反對，故意想歪講歪理。而且，容易做錯決定，衝動分手，其實他只是害怕面對人際關係，包括愛情。"
他走梟印奪食,"要注意的是，他在2024會出現小人多，意思就是不論愛情還是身邊，都會多個麻煩人干擾他，也就是我們所說的「走小人運」。所以，他在這年期間比較力不從心，人際上也有不安的感覺，是正常的。他的心思不在感情生活上，因為會有人際雜事在干擾他，讓他只想解決小人是非。
 
 而且，他今年口舌是非多，也是因為他嘴巴容易講出令人不中聽的說話，而得罪人，為反對而反對，故意想歪講歪理。而且，容易做錯決定，衝動分手，其實他只是害怕面對人際關係，包括愛情。
 
 而且，在他的命盤有，嚴重的流年不利影響，輕則小人是非陷害他，嚴重會有意外之災，建議今年先自保，破解命盤不利，多於求感情。
 
 今年對他來說，會比較反反覆覆，你要多關心他的情緒，少出一張嘴，要做「愛情療癒組合」提升自己的正能量，不然最後你們兩個狀況太差還是會失去彼此。"
你走P,"要注意的是，你在2024會出現小人多，意思就是不論愛情還是身邊，都會多個麻煩人干擾你，也就是我們所說的「走小人運」。所以，你在這年期間比較力不從心，人際上也有不安的感覺，是正常的。你的心思不在感情生活上，因為會有人際雜事在干擾你，讓你只想解決小人是非。
 
 而且，你今年口舌是非多，也是因為你嘴巴容易講出令人不中聽的說話，而得罪人，為反對而反對，故意想歪講歪理。而且，容易做錯決定，衝動分手，其實你只是害怕面對人際關係，包括愛情。"
你走梟印奪食,"要注意的是，你在2024會出現小人多，意思就是不論愛情還是身邊，都會多個麻煩人干擾你，也就是我們所說的「走小人運」。所以，你在這年期間比較力不從心，人際上也有不安的感覺，是正常的。你的心思不在感情生活上，因為會有人際雜事在干擾你，讓你只想解決小人是非。而且，你今年口舌是非多，也是因為你嘴巴容易講出令人不中聽的說話，而得罪人，為反對而反對，故意想歪講歪理。而且，容易做錯決定，衝動分手，其實你只是害怕面對人際關係，包括愛情。
 
 而且，在你的命盤有，嚴重的流年不利影響，輕則小人是非陷害你，嚴重會有意外之災，建議今年先自保破解命盤不利，多於求感情。
 
 今年對你來說，會比較反反覆覆，要多照顧自己的情緒，要「愛情療癒組合」提升自己的正能量，不然最後你的狀況太差，你會親手摧毀自己的愛情，他受不了你，而失去他。"
你身強走印,你2024年則會有比較多人在身邊，但他們說話很多，沒一個可以幫上你，也有可能幫倒忙。所以，2024會人來人往，還是多注意一下，小心被扯後腿而不自知。貴人來，但能幫上的不多，這就是叫假貴人。假貴人來了，就要收拾爛攤子，所以目前你也沒有太大心思經營感情。也有一種防範人的心態，步步小心為營，小心看人。而且，你會對愛情比較有幻想，以為一切美好，到後來才發現只是一直以來的想像的。
他走印,他2024年則會有比較多人在身邊，但他們說話很多，沒一個可以幫上他，也有可能幫倒忙。所以，2024會人來人往，還是多注意一下，小心被扯後腿而不自知。貴人來，但能幫上的不多，這就是叫假貴人。假貴人來了，就要收拾爛攤子，所以目前他也沒有太大心思經營感情。也有一種防範人的心態，步步小心為營，小心看人。
你身弱走印,你2024年走貴人年，意思是做事情會有人幫忙，有求於人都會答應你，也可以說是會有姻緣貴人出現，所以，想撮合感情建議請別人幫忙代你開口，或是請朋友同事幫你們製造機會。如果不想麻煩別人，而事事靠自己，則不成功，甚至於失敗。再加上，今年你的想法比較不切實際，只想著而不行動，會更顯得被動，所以才需要請別人幫忙。
配偶走財,他2024走桃花運，代表他這年人緣多，也容易色心起，或是一時意亂情迷就出軌。2024會更明顯，會比較想要找外面的第三者。要注意他的精神狀況及健康情況，因為越衰弱越容易想歪、做錯事。（他親手摧毀自己的愛情，或是他有更喜歡的人出現，就會馬上甩開你）。同時，他也在重新思考你是不是他想要的情人、認真思考你跟他有沒有未來、他想不想扛起你這個人的責任。如果，他想清楚後，認為你「不值得」，他也是會果斷分手。
曖昧走財,他2024走正緣運，代表他在這年交往的情人就是他的正緣，他身邊人緣也變多，如果在他走正緣年也沒有跟你在一起，就要小心他其實心有其他人，或是他還是覺得你不適合他，才遲遲沒有開口確認關係。正緣年，會在他的潛意識當中，會挑選適合他而他愛的人，但是如果在這一年，一切什麼都沒有發生，也代表，他沒選擇你，他還在等待「符合他心目中最喜歡」的正緣。
前任走財,他2024走正緣運，代表他在這2年交往的情人就是他的正緣，他身邊人緣也變多，如果在他走正緣年分手，就要小心他其實心有其他人，或是代表他還是覺得你不適合他，才會在這一年吵架分手。正緣年，會在他的潛意識當中，會挑選適合他而他愛的人，但是如果在這一年，是分手狀態，也代表，他沒選擇你，發現原來你不是他最愛的那位，他還在等待「符合他心目中最喜歡」的正緣。
小三走財,他2024走財運，同時也是桃花運，代表他這2年異性緣多，也容易色心起，突然想要更多異性，會想要交往。明年會比較收心養性，疼愛正宮，也會因為把正宮放在第一位，而放棄外面的森林，全情投入戀愛中，是他疼伴侶最明顯的一年。如果，他沒有呈現這個狀態，就要注意你社交是否正常，會不會有所隱瞞，有機會發現原來自己不是他最愛的那位。
走財關鍵,今年，是非常關鍵的一年，因為他走桃花運，如果你一直保持低能量的狀態，他覺得跟你在一起不舒服，容易萌生「說不定其他人會讓我更快樂」的比較。你的能量越低，他越容易「思考清楚後，確定你不是他想要的伴侶」，所以，你必須要做「雙人牽線療癒組合」提升自己的正能量，不然最後你們兩個狀況太差，還是會失去彼此。
你走財,你在2024 只顧著賺錢，腦袋在意錢，也對金錢比較敏感，用多用少錢也變得很在乎，狀況不好就會追著錢跑，也會淘大錢，也容易卷入錢財糾紛。2025花費會比較大，愛花就花，傾向花費在玩樂、享受物質上。2024會講求實際，也可能會換到一份收入較高的工作，或加薪。會想努力認真工作，變得想要求穩定。所以，你對愛情沒有太大的慾望，除非對象有物質或金錢上的誘因，否則建議你還是好好地專注賺錢，而不是戀愛腦 。
雙方注意爛桃花,今年雙方注意爛桃花（小人也是指 自己、對象、家人朋友及其他阻礙你感情的所有人，自己也會扯自己後腿，對象也會做錯決定，家人也會不理性地反對，等等。）
流年（官殺）,內容
交往走正官,在2024期間，你會很在意他的一舉一動，會很細心留他的行為動作有沒有異樣，會管得他比較嚴格，或是對於他的事情你會很敏感，反應過度。所以，你們感情投入度會有所差別，是正常的，因為流年運勢的磁場會影響你的想法、心態、行為。你也會管得他比較嚴格，你自己會不自覺，但是對方卻會有明顯的束縛感，你今年會顯得比較緊張，緊張他所有事情，你的存在是他無形的壓力，容易讓他喘不過氣而心累。他受不了，就會跟你分手。同時，會有莫名其妙的壓力，諸事不順，心情或好運有被壓制的感覺。
你重新審視愛情,同時，你會重新審視自己的愛情，審視目前的感情是否真的想要或適合，如果本來就對現任沒有太大的喜歡，很大機會在今年正緣年裡渴望想要一段真真正正的姻緣。
曖昧七殺,在2024期間，你會比較在意他的一舉一動，會很細心留他的行為動作有沒有異樣，或是對於他的事情你會很敏感，反應過度。你會很在意他的一舉一動，你會比較在意他對你的行為，你自己會不自覺，但是對方卻會有明顯的束縛感，也會有無形的壓力，你今年會顯得比較緊張，緊張他所有事情，容易讓他喘不過氣而心累。同時，對方會因為你的無理、壓迫、脾氣、情緒，而選擇跟你分手！所以，不要把自己的不爽強加於他身上，否則你只會親手摧毀自己的愛情！另外，你今年狀態比較差，如果沒有固定做桃花供，提升個人正能量，就會容易「告白失敗」「別人不喜歡你」的感情狀況及「發生意外、有動刀手術、血災」。
分手走七殺,你在2024期間，你會很在意他的一舉一動，會管得他比較嚴格，你自己會不自覺，但是對方卻會有明顯的束縛感，你今年會顯得比較緊張，緊張他所有事情，容易讓他喘不過氣而心累。你的愛對他來說太多了！多到他已經是一種不舒服的壓力，你就是他壓力的來源，所以，他為了讓自己生活開心一些，選擇放棄你。有另一個說法就是，你如果沒有做好保護自己，容易被流年不利磁場影響，當你一時運勢低迷時，也沒預防及避免凶災，就會容易「被分手」的感情狀況 及「發生意外、有動刀手術、血災」。
出軌先殺後官,你2024走正緣運，代表你在這年間容易遇到自己喜歡又覺得適合的伴侶。你會重新審視自己的愛情，審視目前的感情是否真的想要或適合，如果本來就對現任沒有太大的喜歡，很大機會在正緣年裡渴望想要一段真真正正的姻緣。而去年是爛桃花年，所以，去年比較大機會衝動行事，會突破自己的心理關口，喜歡就喜歡，而來到今年，遇到個喜歡的，就會容易暈船，希望能有一段屬於自己的姻緣。
曖昧先殺後官,你2024走正緣運，代表你在這年間容易遇到自己喜歡又覺得適合的伴侶。而去年是爛桃花年，所以，去年比較大機會衝動行事，會突破自己的心理關口，喜歡就喜歡，而來到今年，遇到個喜歡的，就會容易暈船，希望能有一段屬於自己的姻緣。如果，你已經遇到一位你喜歡又覺得適合的人，請把握做「愛情療癒組合」，你告白的話，成功率會很高。若維持原況去等待他開口，只會錯失姻緣。
未婚走官,在2024期間，你會比較在意伴侶，會很細心留他的行為動作有沒有異樣，或是對於他的事情你會很敏感，反應過度。同時，也是你的正緣運，意思就是有機會結婚或同居。去年，壓力會比較大，諸事不順，心情或好運有被壓制的感覺。今年會比較好一些，感情運會更放鬆舒服。
他傷官見官,他在2024年期間，會過得比較吃力一些，上司給壓力，工作職場可能多麻煩事，所以他的心思都放在工作，無暇顧及戀情。2024，他命盤跟流年產生了凶相，他容易招惹是非官司，或者是會有意外流血的事件發生，也會多了一份拚勁在工作上，所以，他會寧願選擇去闖事業或應酬，時間會分配不過來，沒辦把心思都放在經營感情上。這一年，特別容易想分手，他想清靜自己的耳朵，對感情方面選擇逃避、冷戰、冷暴力、甚至是直接生氣/情緒起伏大而喊分手離婚。
他走官,他在2024年期間，他是走事業運，正值事業高峰期，會過得比較吃力一些，上司給壓力，工作職場可能多麻煩事，所以他的心思都放在工作，無暇顧及戀情。2024，他會多了一份拚勁在工作上，所以，他會寧願選擇去闖事業或應酬，時間會分配不過來，沒辦把心思都放在經營感情上。這一年，特別容易想分手，他想清靜自己的耳朵，對感情方面選擇逃避、冷戰、冷暴力、甚至是直接生氣/情緒起伏大而喊分手。
他走殺,"他在2024年期間，會過得比較吃力一些，上司給壓力，工作職場可能多麻煩事，所以他的心思都放在工作，無暇顧及戀情。2024，他容易招惹是非官司，或者是會有意外流血的事件發生，也會多了一份拚勁在工作上，所以，他會寧願選擇去闖事業或應酬，時間會分配不過來，沒辦把心思都放在經營感情上。這一年，特別容易想分手，他想清靜自己的耳朵，對感情方面選擇逃避、冷戰、冷暴力、甚至是直接生氣/情緒起伏大而喊分手離婚。
 
 所以，他基本上這年都在處理麻煩事，沒心情經營感情，所以他走這年會特別容易喊分手，他寧願少一件事煩他，也不要每次對著你只想到煩惱。他在這年裡，會選擇逃避。
 
 今年對他來說，會比較反反覆覆，你要多關心他的情緒，少出一張嘴。他都已經對生活充滿著煩惱跟壓力，你還要求他愛你滿足你？這樣對他很不公平，難怪他想放棄你！不想逼走他，你更要做「愛情療癒組合」提升自己的正能量，不然最後你們兩個狀況太差還是會失去彼此。"
流年（食傷）,內容
你走食傷,"你在2024期間，會被追求完美挑剔得更嚴重，心受挫敗，而情緒不穩，起伏大，想法偏向悲觀。你在這年很容易胡思亂想，磁場太混亂，所以你會把煩惱、痛苦、壓力都發洩到他身上。
 
 你今年負面影響太多，他比較不想要面對你，想逃避你，你讓他不舒服，所以你會被分手多。或是，你負面想法太多，太痛苦了，想要擺脫，也會想跟他分手，堅持不下去，實在太難受了。其實你只是受磁場影響，你是很需要稱讚，想要被認同，你想把事情做好，卻又容易搞砸。另外，就是職場上，充實人際是非煩惱，對工作也比較沒有心思，容易與上司、高層、公司抱有不滿意或頂撞，對外抱怨上司公司。說話也不好聽，字句中帶諷刺，容易傷害別人，而不自知。造成這個惡的循環：自己內心悲觀，心情不好而不自知地得罪人，吸引是非煩惱來針對你，生活更壓抑，最後讓自己陷入痛苦中。"
